"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Morocco","Import","Crustaceans","2723","","1844","","2461","","3810","","3401","","3960","","11938","","21553","","30608","","40385","","70289","","90872","","91307","","96632","","103233","","93137",""
"Morocco","Import","Fish","4590","","6211","","8954","","14718","","26813","","29543","","43518","","35065","","35651","","45477","","41760","","46355","","35073","","50792","","81391","","68896",""
"Mozambique","Export","Crustaceans","95903","F","94028","","117069","","79036","","94746","","77975","","90816","","65824","","68668","","60392","","52319","","44962","","19779","","35896","","50770","","30651",""
"Mozambique","Export","Fish","3482","F","5229","","4807","","16518","","4843","","5359","","5299","","3907","","6566","","4799","","4113","","5121","","5288","","6014","","8034","","5679",""
"Mozambique","Import","Crustaceans","557","F","2","","5","","16596","","17","","13","","107","","220","","23","","15","","4","","61","","70","","174","","216","","160",""
"Mozambique","Import","Fish","7958","F","7680","","10494","","15736","","26932","","30306","F","30809","","25902","","38097","","39362","","35387","","57727","","49510","","93198","","91658","","85165",""
"Namibia","Export","Crustaceans","6785","","9616","","10609","","3347","","7330","","9020","","9902","","9067","","12287","","13485","","10950","","14476","","9223","","10801","","17513","","15005",""
"Namibia","Export","Fish","268733","","306824","","257317","","312975","","332507","","349726","","422650","","465366","","542235","","671125","","734466","","721239","","712322","","745375","","672896","","573700",""
"Namibia","Import","Crustaceans","302","","272","","113","","87","","194","","347","","1516","","1020","","1480","","4577","","1608","","1423","","990","","1904","","1853","","1288",""
"Namibia","Import","Fish","19290","","11194","","6626","","8817","","16536","","18040","","17819","","32627","","31925","","44650","","33498","","28658","","25011","","24906","","27574","","28803",""
"Niger","Export","Fish","1599","","4330","","4344","","4841","","3308","","2229","","547","","309","","386","","326","","563","","789","","773","","1112","","1037","","260",""
"Niger","Import","Crustaceans","4","","4","","3","","2","","3","","3","","7","","6","","4","","6","","11","","15","","14","","15","","9","","23",""
"Niger","Import","Fish","497","","614","","249","","428","","493","","572","","784","","749","","1293","","1341","","1784","","1168","","1993","","2249","","2032","","5839",""
"Nigeria","Export","Crustaceans","11387","","10579","F","14882","F","15140","F","26300","F","53496","F","42895","F","46310","","70180","","152830","","160282","","82509","","78822","","175644","F","93563","F","69142","F"
